trip_id,drone_id,type_id,battery_id,segment_id,origin,destination,distance_m,terrain_max_m,cruise_altitude_m,ascent_m,descent_m,cell_count,remaining_cargo_kg,ascent_duration_s,cruise_duration_s,descent_duration_s,ascent_energy_kwh,cruise_energy_kwh,descent_energy_kwh,handover_energy_kwh,total_energy_kwh,ascent_start_s,ascent_end_s,cruise_start_s,cruise_end_s,descent_start_s,descent_end_s,arrival_s,handover_start_s,handover_end_s,is_return,origin_x_m,origin_y_m,origin_work_altitude_m,destination_x_m,destination_y_m,destination_work_altitude_m
T018,U04,A,BAT-A-05,2,S001,O01,3053.9887026416195,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,136,0,29.685536702473957,254.4990585534683,58.142644042968755,0.023585760179666824,0.5497179664754915,0.0,0.0,0.5733037266551584,2159.475051230066,2189.1605879325402,2189.1605879325402,2443.6596464860086,2443.6596464860086,2501.802290528977,2501.802290528977,2501.802290528977,2501.802290528977,1,319988.599872737,2548318.4942659517,184,318686.2012849663,2545556.1393078705,127.7
T019,U01,A,BAT-A-06,1,O01,S006,3186.250613253772,316.09783935546875,366.09783935546875,238.39783935546876,51.29783935546874,116,22,79.46594645182292,265.52088443781435,20.519135742187494,0.08298045669791987,0.6869408555518055,0.0,0.0,0.7699213122497254,2014.8593983215953,2094.3253447734182,2094.3253447734182,2359.8462292112326,2359.8462292112326,2380.3653649534203,2380.3653649534203,2380.3653649534203,2560.3653649534203,0,318686.2012849663,2545556.1393078705,127.7,315500.3321695994,2545506.834640633,314.8
T019,U01,A,BAT-A-06,2,S006,S003,4801.077753250744,612.3626708984375,662.3626708984375,347.5626708984375,323.8626708984375,229,14,115.85422363281249,400.0898127708953,129.545068359375,0.1104582327127923,0.9432507926099176,0.0,0.0,1.05370902532271,2560.3653649534203,2676.219588586233,2676.219588586233,3076.309401357128,3076.309401357128,3205.854469716503,3205.854469716503,3205.854469716503,3385.854469716503,0,315500.3321695994,2545506.834640633,314.8,312375.1586337376,2549151.507186076,338.5
T019,U01,A,BAT-A-06,3,S003,O01,7263.327717049588,511.80413818359375,561.8041381835938,223.30413818359375,434.10413818359376,338,0,74.43471272786458,605.2773097541323,173.6416552734375,0.0591398869098263,1.3073989890689257,0.0,0.0,1.366538875978752,3385.854469716503,3460.2891824443677,3460.2891824443677,4065.5664921985,4065.5664921985,4239.208147471937,4239.208147471937,4239.208147471937,4239.208147471937,1,312375.1586337376,2549151.507186076,338.5,318686.2012849663,2545556.1393078705,127.7
T020,U02,A,BAT-A-04,1,O01,S001,3053.9887026416195,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,136,22,48.452203369140626,254.4990585534683,35.62264404296875,0.05059508057365559,0.6584258010062226,0.0,0.0,0.7090208815798782,2481.350476532388,2529.8026799015283,2529.8026799015283,2784.3017384549967,2784.3017384549967,2819.9243824979653,2819.9243824979653,2819.9243824979653,3029.9243824979653,0,318686.2012849663,2545556.1393078705,127.7,319988.599872737,2548318.4942659517,184
T020,U02,A,BAT-A-04,2,S001,O01,3053.9887026416195,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,136,0,29.685536702473957,254.4990585534683,58.142644042968755,0.023585760179666824,0.5497179664754915,0.0,0.0,0.5733037266551584,3029.9243824979653,3059.6099192004394,3059.6099192004394,3314.1089777539078,3314.1089777539078,3372.2516217968764,3372.2516217968764,3372.2516217968764,3372.2516217968764,1,319988.599872737,2548318.4942659517,184,318686.2012849663,2545556.1393078705,127.7
T021,U03,A,BAT-A-01,1,O01,S001,3053.9887026416195,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,136,22,48.452203369140626,254.4990585534683,35.62264404296875,0.05059508057365559,0.6584258010062226,0.0,0.0,0.7090208815798782,3079.5822252265916,3128.034428595732,3128.034428595732,3382.5334871492005,3382.5334871492005,3418.156131192169,3418.156131192169,3418.156131192169,3598.156131192169,0,318686.2012849663,2545556.1393078705,127.7,319988.599872737,2548318.4942659517,184
T021,U03,A,BAT-A-01,2,S001,S010,3709.867982765846,381.0796813964844,431.0796813964844,247.07968139648438,79.47968139648435,170,8,82.35989379882812,309.15566523048716,31.79187255859374,0.07291507279715008,0.692860465164549,0.0,0.0,0.7657755379616991,3598.156131192169,3680.5160249909973,3680.5160249909973,3989.6716902214844,3989.6716902214844,4021.463562780078,4021.463562780078,4021.463562780078,4201.463562780078,0,319988.599872737,2548318.4942659517,184,323330.1953724307,2546707.0166936666,351.6
T021,U03,A,BAT-A-01,3,S010,O01,4784.474876257699,385.63653564453125,435.63653564453125,84.03653564453123,307.93653564453126,203,0,28.012178548177076,398.7062396881416,123.17461425781251,0.022256243232828293,0.8612054777263859,0.0,0.0,0.8834617209592142,4201.463562780078,4229.475741328255,4229.475741328255,4628.181981016397,4628.181981016397,4751.356595274209,4751.356595274209,4751.356595274209,4751.356595274209,1,323330.1953724307,2546707.0166936666,351.6,318686.2012849663,2545556.1393078705,127.7
T022,U05,B,BAT-B-04,1,O01,S005,5280.641689396255,276.410888671875,326.410888671875,198.710888671875,131.410888671875,181,14,66.23696289062501,352.0427792930837,52.56435546875,0.0593928868731209,0.8737550506767009,0.0,0.0,0.9331479375498218,4976.618092125082,5042.855055015707,5042.855055015707,5394.897834308791,5394.897834308791,5447.462189777541,5447.462189777541,5447.462189777541,5627.462189777541,0,318686.2012849663,2545556.1393078705,127.7,318488.48309921037,2550833.078209432,195
T022,U05,B,BAT-B-04,2,S005,S008,3040.202464701387,316.78717041015625,366.78717041015625,171.78717041015625,95.88717041015627,141,6,57.26239013671875,202.6801643134258,38.35486816406251,0.04614607348915736,0.45162665913345884,0.0,0.0,0.49777273262261623,5627.462189777541,5684.72457991426,5684.72457991426,5887.404744227686,5887.404744227686,5925.759612391748,5925.759612391748,5925.759612391748,6105.759612391748,0,318488.48309921037,2550833.078209432,195,316926.3521472279,2553441.253417357,270.9
T022,U05,B,BAT-B-04,3,S008,O01,8079.114648723534,322.9093322753906,372.9093322753906,102.00933227539065,245.20933227539064,321,0,34.00311075846355,538.6076432482356,98.08373291015626,0.02508643448815582,1.1541592355319334,0.0,0.0,1.1792456700200893,6105.759612391748,6139.762723150212,6139.762723150212,6678.370366398448,6678.370366398448,6776.454099308604,6776.454099308604,6776.454099308604,6776.454099308604,1,316926.3521472279,2553441.253417357,270.9,318686.2012849663,2545556.1393078705,127.7
T023,U04,A,BAT-A-02,1,O01,S005,5280.641689396255,276.410888671875,326.410888671875,198.710888671875,131.410888671875,181,17,66.23696289062501,440.0534741163546,52.56435546875,0.06540735642989265,1.0705793426081611,0.0,0.0,1.1359866990380538,3519.7226809070917,3585.9596437977166,3585.9596437977166,4026.0131179140712,4026.0131179140712,4078.577473382821,4078.577473382821,4078.577473382821,4288.577473382821,0,318686.2012849663,2545556.1393078705,127.7,318488.48309921037,2550833.078209432,195
T023,U04,A,BAT-A-02,2,S005,O01,5280.641689396255,276.410888671875,326.410888671875,131.410888671875,198.710888671875,181,0,43.803629557291664,440.0534741163546,79.48435546875001,0.03480287090956134,0.9505155040913259,0.0,0.0,0.9853183750008873,4288.577473382821,4332.381102940113,4332.381102940113,4772.434577056468,4772.434577056468,4851.918932525218,4851.918932525218,4851.918932525218,4851.918932525218,1,318488.48309921037,2550833.078209432,195,318686.2012849663,2545556.1393078705,127.7
T024,U06,B,BAT-B-03,1,O01,S001,3053.9887026416195,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,136,12,48.452203369140626,203.59924684277465,35.62264404296875,0.04234588265403783,0.4893386621963528,0.0,0.0,0.5316845448503906,5652.558427753864,5701.010631123005,5701.010631123005,5904.60987796578,5904.60987796578,5940.232522008749,5940.232522008749,5940.232522008749,6150.232522008749,0,318686.2012849663,2545556.1393078705,127.7,319988.599872737,2548318.4942659517,184
T024,U06,B,BAT-B-03,2,S001,O01,3053.9887026416195,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,136,0,29.685536702473957,203.59924684277465,58.142644042968755,0.021901063023976337,0.4362841003773742,0.0,0.0,0.4581851634013505,6150.232522008749,6179.918058711222,6179.918058711222,6383.517305553997,6383.517305553997,6441.659949596966,6441.659949596966,6441.659949596966,6441.659949596966,1,319988.599872737,2548318.4942659517,184,318686.2012849663,2545556.1393078705,127.7
T025,U02,A,BAT-A-05,1,O01,S008,8079.114648723534,322.9093322753906,372.9093322753906,245.20933227539064,102.00933227539065,321,22,81.73644409179688,673.2595540602945,40.803732910156256,0.08535137077506877,1.7418196502841268,0.0,0.0,1.8271710210591956,3732.2516217968764,3813.988065888673,3813.988065888673,4487.247619948967,4487.247619948967,4528.051352859124,4528.051352859124,4528.051352859124,4738.051352859124,0,318686.2012849663,2545556.1393078705,127.7,316926.3521472279,2553441.253417357,270.9
T025,U02,A,BAT-A-05,2,S008,O01,8079.114648723534,322.9093322753906,372.9093322753906,102.00933227539065,245.20933227539064,321,0,34.00311075846355,673.2595540602945,98.08373291015626,0.02701616021801396,1.454240636770236,0.0,0.0,1.48125679698825,4738.051352859124,4772.054463617587,4772.054463617587,5445.314017677882,5445.314017677882,5543.3977505880375,5543.3977505880375,5543.3977505880375,5543.3977505880375,1,316926.3521472279,2553441.253417357,270.9,318686.2012849663,2545556.1393078705,127.7
T026,U01,A,BAT-A-03,1,O01,S015,6009.472571071346,521.7992553710938,571.7992553710938,444.09925537109376,97.29925537109375,286,14,148.03308512369793,500.7893809226121,38.9197021484375,0.14113834138330814,1.1806598553819678,0.0,0.0,1.3217981967652759,4569.208147471937,4717.241232595635,4717.241232595635,5218.030613518247,5218.030613518247,5256.950315666685,5256.950315666685,5256.950315666685,5436.950315666685,0,318686.2012849663,2545556.1393078705,127.7,314798.3027495933,2550138.497386535,474.5
