time_s,trip_id,drone_id,mode,relay_id
482.0,T009,U02,direct,
482.0,T010,U03,direct,
482.0,T016,U04,direct,
483.0,T001,U07,direct,
483.0,T002,U05,direct,
483.0,T003,U08,direct,
483.0,T004,U06,direct,
483.0,T006,U01,direct,
483.0,T009,U02,direct,
483.0,T010,U03,direct,
483.0,T016,U04,direct,
484.0,T001,U07,direct,
484.0,T002,U05,direct,
484.0,T003,U08,direct,
484.0,T004,U06,direct,
484.0,T006,U01,direct,
484.0,T009,U02,direct,
484.0,T010,U03,direct,
484.0,T016,U04,direct,
485.0,T001,U07,direct,
485.0,T002,U05,direct,
485.0,T003,U08,direct,
485.0,T004,U06,direct,
485.0,T006,U01,direct,
485.0,T009,U02,direct,
485.0,T010,U03,direct,
485.0,T016,U04,direct,
486.0,T001,U07,direct,
486.0,T002,U05,direct,
486.0,T003,U08,direct,
486.0,T004,U06,direct,
486.0,T006,U01,direct,
486.0,T009,U02,direct,
486.0,T010,U03,direct,
486.0,T016,U04,direct,
487.0,T001,U07,direct,
487.0,T002,U05,direct,
487.0,T003,U08,direct,
487.0,T004,U06,direct,
487.0,T006,U01,direct,
487.0,T009,U02,direct,
487.0,T010,U03,direct,
487.0,T016,U04,direct,
488.0,T001,U07,direct,
488.0,T002,U05,direct,
488.0,T003,U08,direct,
488.0,T004,U06,direct,
488.0,T006,U01,direct,
488.0,T009,U02,direct,
488.0,T010,U03,direct,
488.0,T016,U04,direct,
489.0,T001,U07,direct,
489.0,T002,U05,direct,
489.0,T003,U08,direct,
489.0,T004,U06,direct,
489.0,T006,U01,direct,
489.0,T009,U02,direct,
489.0,T010,U03,direct,
489.0,T016,U04,direct,
490.0,T001,U07,direct,
490.0,T002,U05,direct,
490.0,T003,U08,direct,
490.0,T004,U06,direct,
490.0,T006,U01,direct,
490.0,T009,U02,direct,
490.0,T010,U03,direct,
490.0,T016,U04,direct,
491.0,T001,U07,direct,
491.0,T002,U05,direct,
491.0,T003,U08,direct,
491.0,T004,U06,direct,
491.0,T006,U01,direct,
491.0,T009,U02,direct,
491.0,T010,U03,direct,
491.0,T016,U04,direct,
492.0,T001,U07,direct,
492.0,T002,U05,direct,
492.0,T003,U08,direct,
492.0,T004,U06,direct,
492.0,T006,U01,direct,
492.0,T009,U02,direct,
492.0,T010,U03,direct,
492.0,T016,U04,direct,
493.0,T001,U07,direct,
493.0,T002,U05,direct,
493.0,T003,U08,direct,
493.0,T004,U06,direct,
493.0,T006,U01,direct,
493.0,T009,U02,direct,
493.0,T010,U03,direct,
493.0,T016,U04,direct,
494.0,T001,U07,direct,
494.0,T002,U05,direct,
494.0,T003,U08,direct,
494.0,T004,U06,direct,
494.0,T006,U01,direct,
494.0,T009,U02,direct,
494.0,T010,U03,direct,
494.0,T016,U04,direct,
495.0,T001,U07,direct,
495.0,T002,U05,direct,
495.0,T003,U08,direct,
495.0,T004,U06,direct,
495.0,T006,U01,direct,
495.0,T009,U02,direct,
495.0,T010,U03,direct,
495.0,T016,U04,direct,
496.0,T001,U07,direct,
496.0,T002,U05,direct,
496.0,T003,U08,direct,
496.0,T004,U06,direct,
496.0,T006,U01,direct,
496.0,T009,U02,direct,
496.0,T010,U03,direct,
496.0,T016,U04,direct,
497.0,T001,U07,direct,
497.0,T002,U05,direct,
497.0,T003,U08,direct,
497.0,T004,U06,direct,
497.0,T006,U01,direct,
497.0,T009,U02,direct,
497.0,T010,U03,direct,
497.0,T016,U04,direct,
498.0,T001,U07,direct,
498.0,T002,U05,direct,
498.0,T003,U08,direct,
498.0,T004,U06,direct,
498.0,T006,U01,direct,
498.0,T009,U02,direct,
498.0,T010,U03,direct,
498.0,T016,U04,direct,
499.0,T001,U07,direct,
499.0,T002,U05,direct,
499.0,T003,U08,direct,
499.0,T004,U06,direct,
499.0,T006,U01,direct,
499.0,T009,U02,direct,
499.0,T010,U03,direct,
499.0,T016,U04,direct,
500.0,T001,U07,direct,
500.0,T002,U05,direct,
500.0,T003,U08,direct,
500.0,T004,U06,direct,
500.0,T006,U01,direct,
500.0,T009,U02,direct,
500.0,T010,U03,direct,
500.0,T016,U04,direct,
501.0,T001,U07,direct,
501.0,T002,U05,direct,
501.0,T003,U08,direct,
501.0,T004,U06,direct,
501.0,T006,U01,direct,
501.0,T009,U02,direct,
501.0,T010,U03,direct,
501.0,T016,U04,direct,
502.0,T001,U07,direct,
502.0,T002,U05,direct,
502.0,T003,U08,direct,
502.0,T004,U06,direct,
502.0,T006,U01,direct,
502.0,T009,U02,direct,
502.0,T010,U03,direct,
502.0,T016,U04,direct,
503.0,T001,U07,direct,
503.0,T002,U05,direct,
503.0,T003,U08,direct,
503.0,T004,U06,direct,
503.0,T006,U01,direct,
503.0,T009,U02,direct,
503.0,T010,U03,direct,
503.0,T016,U04,direct,
504.0,T001,U07,direct,
504.0,T002,U05,direct,
504.0,T003,U08,direct,
504.0,T004,U06,direct,
504.0,T006,U01,direct,
504.0,T009,U02,direct,
504.0,T010,U03,direct,
504.0,T016,U04,direct,
505.0,T001,U07,direct,
505.0,T002,U05,direct,
505.0,T003,U08,direct,
505.0,T004,U06,direct,
505.0,T006,U01,direct,
505.0,T009,U02,direct,
505.0,T010,U03,direct,
505.0,T016,U04,direct,
506.0,T001,U07,direct,
506.0,T002,U05,direct,
506.0,T003,U08,direct,
506.0,T004,U06,direct,
506.0,T006,U01,direct,
506.0,T009,U02,direct,
506.0,T010,U03,direct,
506.0,T016,U04,direct,
507.0,T001,U07,direct,
507.0,T002,U05,direct,
507.0,T003,U08,direct,
507.0,T004,U06,direct,
507.0,T006,U01,direct,
507.0,T009,U02,direct,
507.0,T010,U03,direct,
507.0,T016,U04,direct,
508.0,T001,U07,direct,
508.0,T002,U05,direct,
508.0,T003,U08,direct,
508.0,T004,U06,direct,
508.0,T006,U01,direct,
508.0,T009,U02,direct,
508.0,T010,U03,direct,
508.0,T016,U04,direct,
509.0,T001,U07,direct,
509.0,T002,U05,direct,
509.0,T003,U08,direct,
509.0,T004,U06,direct,
509.0,T006,U01,direct,
509.0,T009,U02,direct,
509.0,T010,U03,direct,
509.0,T016,U04,direct,
510.0,T001,U07,direct,
510.0,T002,U05,direct,
510.0,T003,U08,direct,
510.0,T004,U06,direct,
510.0,T006,U01,direct,
510.0,T009,U02,direct,
510.0,T010,U03,direct,
510.0,T016,U04,direct,
511.0,T001,U07,direct,
511.0,T002,U05,direct,
511.0,T003,U08,direct,
511.0,T004,U06,direct,
511.0,T006,U01,direct,
511.0,T009,U02,direct,
511.0,T010,U03,direct,
511.0,T016,U04,direct,
512.0,T001,U07,direct,
512.0,T002,U05,direct,
512.0,T003,U08,direct,
512.0,T004,U06,direct,
512.0,T006,U01,direct,
512.0,T009,U02,direct,
512.0,T010,U03,direct,
512.0,T016,U04,direct,
513.0,T001,U07,direct,
513.0,T002,U05,direct,
513.0,T003,U08,direct,
513.0,T004,U06,direct,
513.0,T006,U01,direct,
513.0,T009,U02,direct,
513.0,T010,U03,direct,
513.0,T016,U04,direct,
514.0,T001,U07,direct,
