time_s,trip_id,drone_id,x_m,y_m,z_m,phase,flight_phase,direct_ok,R01_serving,R01_access,R01_backhaul,R02_serving,R02_access,R02_backhaul,reason
4265.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4266.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4267.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4268.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4269.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4270.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4271.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4272.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4273.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4274.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4275.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4276.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4277.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4278.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4279.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4280.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4281.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
