time_s,trip_id,drone_id,x,y,altitude_m,phase,connected,mode,reason
500.0,T016,U04,319154.697,2546549.807,273.057,cruise,1,direct,
505.0,T001,U07,318686.201,2545556.139,265.2,ascent,1,direct,
505.0,T002,U05,318686.201,2545556.139,472.7,ascent,1,direct,
505.0,T003,U08,318686.201,2545556.139,265.2,ascent,1,direct,
505.0,T004,U06,319003.396,2545741.91,399.182,cruise,1,direct,
505.0,T006,U01,319179.532,2545678.397,435.637,cruise,1,direct,
505.0,T009,U02,318686.201,2545556.139,562.7,ascent,1,direct,
505.0,T010,U03,318520.835,2546297.073,372.909,cruise,1,direct,
505.0,T016,U04,319180.285,2546604.078,273.057,cruise,1,direct,
510.0,T001,U07,318686.201,2545556.139,277.7,ascent,1,direct,
510.0,T002,U05,318686.201,2545556.139,487.7,ascent,1,direct,
510.0,T003,U08,318686.201,2545556.139,277.7,ascent,1,direct,
510.0,T004,U06,319068.113,2545779.813,399.182,cruise,1,direct,
510.0,T006,U01,319237.77,2545692.829,435.637,cruise,1,direct,
510.0,T009,U02,318670.931,2545574.137,571.799,cruise,1,direct,
510.0,T010,U03,318507.766,2546355.632,372.909,cruise,1,direct,
510.0,T016,U04,319205.872,2546658.348,273.057,cruise,1,direct,
515.0,T001,U07,318686.201,2545556.139,290.2,ascent,1,direct,
515.0,T002,U05,318686.201,2545556.139,502.7,ascent,1,direct,
515.0,T003,U08,318686.201,2545556.139,290.2,ascent,1,direct,
515.0,T004,U06,319132.831,2545817.716,399.182,cruise,1,direct,
515.0,T006,U01,319296.008,2545707.262,435.637,cruise,1,direct,
515.0,T009,U02,318632.113,2545619.888,571.799,cruise,1,direct,
515.0,T010,U03,318494.696,2546414.191,372.909,cruise,1,direct,
515.0,T016,U04,319231.459,2546712.618,273.057,cruise,1,direct,
520.0,T001,U07,318686.201,2545556.139,302.7,ascent,1,direct,
520.0,T002,U05,318686.201,2545556.139,517.7,ascent,1,direct,
520.0,T003,U08,318686.201,2545556.139,302.7,ascent,1,direct,
520.0,T004,U06,319197.548,2545855.619,399.182,cruise,1,direct,
520.0,T006,U01,319354.247,2545721.695,435.637,cruise,1,direct,
520.0,T009,U02,318593.296,2545665.64,571.799,cruise,1,direct,
520.0,T010,U03,318481.626,2546472.75,372.909,cruise,1,direct,
520.0,T016,U04,319257.047,2546766.889,273.057,cruise,1,direct,
525.0,T001,U07,318686.201,2545556.139,315.2,ascent,1,direct,
525.0,T002,U05,318686.201,2545556.139,532.7,ascent,1,direct,
525.0,T003,U08,318686.201,2545556.139,315.2,ascent,1,direct,
525.0,T004,U06,319262.266,2545893.522,399.182,cruise,1,direct,
525.0,T006,U01,319412.485,2545736.127,435.637,cruise,1,direct,
525.0,T009,U02,318554.478,2545711.391,571.799,cruise,1,direct,
525.0,T010,U03,318468.557,2546531.309,372.909,cruise,1,direct,
525.0,T016,U04,319282.634,2546821.159,273.057,cruise,1,direct,
530.0,T001,U07,318686.201,2545556.139,327.7,ascent,1,direct,
530.0,T002,U05,318686.201,2545556.139,547.7,ascent,1,direct,
530.0,T003,U08,318686.201,2545556.139,327.7,ascent,1,direct,
530.0,T004,U06,319326.984,2545931.425,399.182,cruise,1,direct,
530.0,T006,U01,319470.723,2545750.56,435.637,cruise,1,direct,
530.0,T009,U02,318515.66,2545757.143,571.799,cruise,1,direct,
530.0,T010,U03,318455.487,2546589.869,372.909,cruise,1,direct,
530.0,T016,U04,319308.222,2546875.43,273.057,cruise,1,direct,
535.0,T001,U07,318686.201,2545556.139,340.2,ascent,1,direct,
535.0,T002,U05,318686.201,2545556.139,562.7,ascent,1,direct,
535.0,T003,U08,318686.201,2545556.139,340.2,ascent,1,direct,
535.0,T004,U06,319391.701,2545969.328,399.182,cruise,1,direct,
535.0,T006,U01,319528.962,2545764.993,435.637,cruise,1,direct,
535.0,T009,U02,318476.843,2545802.894,571.799,cruise,1,direct,
535.0,T010,U03,318442.417,2546648.428,372.909,cruise,1,direct,
535.0,T016,U04,319333.809,2546929.7,273.057,cruise,1,direct,
540.0,T001,U07,318686.201,2545556.139,352.7,ascent,1,direct,
540.0,T002,U05,318686.201,2545556.139,577.7,ascent,1,direct,
540.0,T003,U08,318686.201,2545556.139,352.7,ascent,1,direct,
