time_s,trip_id,drone_id,x,y,lon,lat,altitude_m,phase
545.0,T006,U01,319645.438,2545793.858,109.2401801,23.0107602,435.637,cruise
545.0,T009,U02,318399.207,2545894.397,109.2280125,23.0115323,571.799,cruise
545.0,T010,U03,318416.278,2546765.546,109.2280763,23.0193999,372.909,cruise
545.0,T016,U04,319384.984,2547038.241,109.2374936,23.0219676,273.057,cruise
550.0,T001,U07,318616.597,2545555.062,109.2301729,23.0084922,366.098,cruise
550.0,T002,U05,318764.716,2545549.894,109.2316183,23.0084617,591.947,cruise
550.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,377.7,ascent
550.0,T004,U06,319585.854,2546083.037,109.239565,23.0133648,399.182,cruise
550.0,T006,U01,319703.677,2545808.291,109.2407464,23.0108968,435.637,cruise
550.0,T009,U02,318360.389,2545940.148,109.2276285,23.0119412,571.799,cruise
550.0,T010,U03,318403.209,2546824.106,109.2279419,23.0199272,372.909,cruise
550.0,T016,U04,319410.572,2547092.511,109.2377368,23.0224604,273.057,cruise
555.0,T001,U07,318541.606,2545553.902,109.2294416,23.0084735,366.098,cruise
555.0,T002,U05,318839.48,2545543.948,109.2323482,23.0084161,591.947,cruise
555.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,390.2,ascent
555.0,T004,U06,319650.571,2546120.94,109.2401918,23.013714,399.182,cruise
555.0,T006,U01,319761.915,2545822.723,109.2413128,23.0110334,435.637,cruise
555.0,T009,U02,318321.572,2545985.899,109.2272445,23.0123501,571.799,cruise
555.0,T010,U03,318390.139,2546882.665,109.2278075,23.0204545,372.909,cruise
555.0,T016,U04,319436.159,2547146.782,109.23798,23.0229532,273.057,cruise
560.0,T001,U07,318466.615,2545552.741,109.2287103,23.0084549,366.098,cruise
560.0,T002,U05,318914.244,2545538.001,109.2330781,23.0083706,591.947,cruise
560.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,402.7,ascent
560.0,T004,U06,319715.289,2546158.843,109.2408187,23.0140633,399.182,cruise
560.0,T006,U01,319820.153,2545837.156,109.2418792,23.0111701,435.637,cruise
560.0,T009,U02,318282.754,2546031.651,109.2268604,23.0127589,571.799,cruise
560.0,T010,U03,318377.069,2546941.224,109.2276731,23.0209818,372.909,cruise
560.0,T016,U04,319461.747,2547201.052,109.2382233,23.023446,273.057,cruise
565.0,T001,U07,318391.624,2545551.58,109.227979,23.0084362,366.098,cruise
565.0,T002,U05,318989.008,2545532.055,109.233808,23.008325,591.947,cruise
565.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,415.2,ascent
565.0,T004,U06,319780.006,2546196.746,109.2414455,23.0144125,399.182,cruise
565.0,T006,U01,319878.391,2545851.589,109.2424456,23.0113067,435.637,cruise
565.0,T009,U02,318243.936,2546077.402,109.2264764,23.0131678,571.799,cruise
565.0,T010,U03,318364.0,2546999.783,109.2275387,23.0215091,372.909,cruise
565.0,T016,U04,319487.334,2547255.323,109.2384665,23.0239388,273.057,cruise
570.0,T001,U07,318316.633,2545550.42,109.2272477,23.0084175,366.098,cruise
570.0,T002,U05,319063.772,2545526.108,109.234538,23.0082795,591.947,cruise
570.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,427.7,ascent
570.0,T004,U06,319844.724,2546234.649,109.2420723,23.0147618,399.182,cruise
570.0,T006,U01,319936.63,2545866.021,109.2430119,23.0114433,435.637,cruise
570.0,T009,U02,318205.119,2546123.153,109.2260924,23.0135766,571.799,cruise
570.0,T010,U03,318350.93,2547058.343,109.2274042,23.0220364,372.909,cruise
570.0,T016,U04,319512.922,2547309.593,109.2387098,23.0244316,273.057,cruise
575.0,T001,U07,318241.642,2545549.259,109.2265164,23.0083989,366.098,cruise
575.0,T002,U05,319138.536,2545520.162,109.2352679,23.0082339,591.947,cruise
575.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,440.2,ascent
575.0,T004,U06,319909.442,2546272.552,109.2426992,23.015111,399.182,cruise
575.0,T006,U01,319994.868,2545880.454,109.2435783,23.0115799,435.637,cruise
575.0,T009,U02,318166.301,2546168.905,109.2257083,23.0139855,571.799,cruise
575.0,T010,U03,318337.861,2547116.902,109.2272698,23.0225638,372.909,cruise
575.0,T016,U04,319538.509,2547363.864,109.238953,23.0249244,273.057,cruise
580.0,T001,U07,318166.651,2545548.099,109.2257851,23.0083802,366.098,cruise
580.0,T002,U05,319213.3,2545514.215,109.2359978,23.0081883,591.947,cruise
580.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,452.7,ascent
580.0,T004,U06,319974.159,2546310.455,109.243326,23.0154602,399.182,cruise
580.0,T006,U01,320053.106,2545894.887,109.2441447,23.0117165,435.637,cruise
580.0,T009,U02,318127.483,2546214.656,109.2253243,23.0143943,571.799,cruise
580.0,T010,U03,318324.791,2547175.461,109.2271354,23.0230911,372.909,cruise
580.0,T016,U04,319564.097,2547418.134,109.2391962,23.0254172,273.057,cruise
585.0,T001,U07,318091.66,2545546.938,109.2250538,23.0083615,366.098,cruise
585.0,T002,U05,319288.064,2545508.268,109.2367278,23.0081428,591.947,cruise
585.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,465.2,ascent
585.0,T004,U06,320038.877,2546348.358,109.2439529,23.0158095,399.182,cruise
585.0,T006,U01,320111.345,2545909.319,109.244711,23.0118532,435.637,cruise
585.0,T009,U02,318088.666,2546260.407,109.2249403,23.0148031,571.799,cruise
585.0,T010,U03,318311.721,2547234.02,109.227001,23.0236184,372.909,cruise
585.0,T016,U04,319589.684,2547472.404,109.2394395,23.02591,273.057,cruise
590.0,T001,U07,318016.668,2545545.778,109.2243225,23.0083428,366.098,cruise
590.0,T002,U05,319362.827,2545502.322,109.2374577,23.0080972,591.947,cruise
590.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,477.7,ascent
590.0,T004,U06,320103.594,2546386.261,109.2445797,23.0161587,399.182,cruise
590.0,T006,U01,320169.583,2545923.752,109.2452774,23.0119898,435.637,cruise
590.0,T009,U02,318049.848,2546306.159,109.2245562,23.015212,571.799,cruise
590.0,T010,U03,318298.652,2547292.58,109.2268666,23.0241457,372.909,cruise
590.0,T016,U04,319615.272,2547526.675,109.2396827,23.0264028,273.057,cruise
595.0,T001,U07,317941.677,2545544.617,109.2235911,23.0083241,366.098,cruise
595.0,T002,U05,319437.591,2545496.375,109.2381876,23.0080516,591.947,cruise
595.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,490.2,ascent
595.0,T004,U06,320168.312,2546424.164,109.2452066,23.016508,399.182,cruise
595.0,T006,U01,320227.821,2545938.184,109.2458438,23.0121264,435.637,cruise
595.0,T009,U02,318011.03,2546351.91,109.2241722,23.0156208,571.799,cruise
595.0,T010,U03,318285.582,2547351.139,109.2267322,23.024673,372.909,cruise
595.0,T016,U04,319640.859,2547580.945,109.239926,23.0268956,273.057,cruise
600.0,T001,U07,317866.686,2545543.456,109.2228598,23.0083055,366.098,cruise
